NAME_OF_DISTRICT_COUNCIL_DISTRICT_EN,LOCATION_EN,ADDRESS_EN,NAME_OF_DISTRICT_COUNCIL_DISTRICT_TC,LOCATION_TC,ADDRESS_TC,NAME_OF_DISTRICT_COUNCIL_DISTRICT_SC,LOCATION_SC,ADDRESS_SC,STANDARD_BS1363_no,MEDIUM_IEC62196_no,MEDIUM_SAEJ1772_no,MEDIUM_OTHERS_no,QUICK_CHAdeMO_no,QUICK_CCS_DC_COMBO_no,QUICK_IEC62196_no,QUICK_GB_T20234_3_DC__no,QUICK_OTHERS_no,REMARK_FOR__OTHERS_,DATA_PATH,GeometryLongitude,GeometryLatitude
Yuen Long,Ping Wui Centre,"13 – 17 Ping Wui Street,",元朗區,屏會中心,元朗屏會街13 – 17號,元朗区,屏会中心,元朗屏会街13 – 17号,2,0,0,0,0,0,0,0,0,-,-,114.02196200000003,22.446593000000064
Yuen Long,Springdale Villas,"80 Ma Tin Road, Yuen Long",元朗區,御庭居,元朗馬田路80號,元朗区, 御庭居,元朗马田路80号,2,0,0,0,0,0,0,0,3,Tesla Supercharger,-,114.02170300000012,22.440678000000048
Yuen Long,Shui Pin Wai Estate,"Shui Pin Wai Road, Yuen Long, N. T.",元朗區,水邊圍邨,新界元朗水邊圍邨,元朗区,水边围邨,新界元朗水边围邨,0,1,0,0,1,1,2,0,0,-,-,114.02000400000009,22.445553000000075
Yuen Long,Hong Kong Wetland Park Car Park,"Wetland Park Road, Tin Shui Wai, NT",元朗區,香港濕地公園停車場,新界 天水圍 濕地公園路,元朗区,香港湿地公园停车场,新界 天水围 湿地公园路,0,2,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.00458500000002,22.46922500000005
Yuen Long,"Yoho Mall I Zone A, B  I A, B ","9 Yuen Lung St, Yuen Long",元朗區,"形點 I (A, B區)",元朗元龍街9號,元朗区,"形点 I (A, B区)",元朗元龙街9号,2,0,0,0,0,0,2,0,4,-,-,114.0376050000001,22.444237000000044
Yuen Long,"Yoho Mall I Zone C, D  I C, D ","9 Long Yat Road, Yuen Long",元朗區,"形點 I (C, D區)",元朗朗日路9號,元朗区,"形点 I (C, D区)",元朗朗日路9号,0,0,0,3,0,0,0,0,3,Tesla Wall Connector / Supercharger,-,114.03687800000012,22.444515000000024
Yuen Long,Yoho Mall II,"8 Long Yat Rd, Yuen Long",元朗區,形點 II,元朗朗日路8號,元朗区,形点 II,元朗朗日路8号,2,0,0,0,0,0,2,0,0,-,-,114.03529200000003,22.446454000000074
Yuen Long,Hung Fuk Estate Carpark ,"Hung Fuk Shopping Centre Management Office, G/F, Ancillary Facilities Block, Hung Fuk Estate, Hung Shui Kiu, Yuen Long",元朗區,洪福邨停車場,元朗洪水橋洪福邨服務設施大樓地下洪福商場管理處,元朗区,洪福邨停车场,元朗洪水桥洪福邨服务设施大楼地下洪福商场管理处,3,0,0,0,0,0,0,0,0,-,-,113.9986970000001,22.43734900000004
Yuen Long,Park Signature,"KUNG UM ROAD, YUEN LONG",元朗區,溱柏,元朗 公庵路,元朗区,溱柏,元朗 公庵路,0,3,0,0,0,0,0,0,2,Tesla Wall Connector,-,114.02323400000012,22.43719500000003
Yuen Long,Long Ching Estate,"Long Ching Estate, Yuen Long, New Territories",元朗區,朗晴邨,"朗晴邨, 元朗區, 新界",元朗区,朗晴邨,"朗晴邨, 元朗区, 新界",1,0,0,0,0,0,0,0,0,-,-,114.0287320000001,22.446997000000067
Yuen Long,Long Shin Estate,"Long Shin Estate, Yuen Long, New Territories",元朗區,朗善邨,"朗善邨, 元朗區, 新界",元朗区,朗善邨,"朗善邨, 元朗区, 新界",4,0,0,0,0,0,0,0,0,-,-,114.04538000000002,22.442371000000037
Yuen Long,Yuen Long Plaza,"251 Castle Peak Road, Yuen Long",元朗區,元朗廣場,元朗青山公路251號,元朗区,元朗广场,元朗青山公路251号,2,0,0,0,0,0,2,0,0,-,-,114.02389300000004,22.44517600000006
Yuen Long,Ping Yan Carpark,"Ping Yan Court, 65 Ping Ha Street, Tin Shui Wai, N.T.",元朗區,屏欣停車場,新界天水圍屏夏路65號屏欣苑,元朗区,屏欣停车场,新界天水围屏夏路65号屏欣苑,4,0,0,0,0,0,0,0,0,-,-,114.00432300000011,22.445876000000055
Yuen Long,Tin Ching Estate (Amenity & Community Building),"Tin Ching Estate (Amenity & Community Building), Yuen Long, New Territories",元朗區,天晴邨（服務設施大樓）,"天晴邨（服務設施大樓）, 元朗區, 新界",元朗区,天晴邨（服务设施大楼）,"天晴邨（服务设施大楼）, 元朗区, 新界",5,0,0,0,0,0,0,0,0,-,-,114.00236500000005,22.462992000000042
Yuen Long,Tin Shui Wai Hospital,"TIN TAN STREET, YUEN LONG",元朗區,天水圍醫院,元朗 天壇街,元朗区,天水围医院,元朗 天坛街,2,0,0,0,0,0,0,0,0,-,-,113.99552200000005,22.45833200000004
Yuen Long,Yuen Long Swimming Pool,"10 Tai Yuk Road, Yuen Long, N.T.",元朗區,元朗游泳池,元朗體育路10號,元朗区,元朗游泳池,元朗体育路10号,0,17,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.02108800000008,22.441355000000044
Yuen Long,Tin Shui Wai Swimming Pool,"1 Tin Pak Road, Tin Shui Wai, N.T.",元朗區,天水圍泳池,天水圍天柏路1號,元朗区,天水围泳池,天水围天柏路1号,0,11,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.00695800000005,22.45503800000006
Yuen Long,Tin Shui Wai Sports Ground,"2 Tin Shui Rd, Tin Shui Wai, N.T.",元朗區,天水圍運動場,天水圍天瑞路2號,元朗区,天水围运动场,天水围天瑞路2号,0,18,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.00408600000003,22.453815000000077
Yuen Long,Tin Yip Road Park,"Tin Yip Road, Tin Shui Wai, N.T.",元朗區,天業路公園,新界天水圍天業路,元朗区,天业路公园,新界天水围天业路,0,12,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.00669100000005,22.463869000000045
Yuen Long,Fung Kam Street Sports Centre,"20 Fung Yau Street North, Yuen Long",元朗區,鳳琴街體育館,元朗鳳攸北街20號,元朗区,凤琴街体育馆,元朗凤攸北街20号,0,17,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json,114.0330580000001,22.443052000000023
Yuen Long,Park Yoho Car Park Phase 1B,"18 Castle Peak Rd - Tam Mei, Kam Tin",元朗區,Park Yoho Car Park Phase 1B,錦田青山公路 - 潭尾段18號,元朗区,Park Yoho Car Park Phase 1B,锦田青山公路 - 潭尾段18号,0,0,0,0,0,0,2,0,0,-,-,114.05261300000006,22.45118700000006
Yuen Long,Park Yoho Car Park Phase 2A,"18 Castle Peak Rd - Tam Mei, Kam Tin",元朗區,Park Yoho Car Park Phase 2A,錦田青山公路 - 潭尾段18號,元朗区,Park Yoho Car Park Phase 2A,锦田青山公路 - 潭尾段18号,0,0,0,0,0,0,2,0,0,-,-,114.05335400000001,22.45054200000004
Yuen Long,Park Yoho Car Park Phase 2C,"18 Castle Peak Rd - Tam Mei, Kam Tin",元朗區,Park Yoho Car Park Phase 2C,錦田青山公路 - 潭尾段18號,元朗区,Park Yoho Car Park Phase 2C,锦田青山公路 - 潭尾段18号,0,0,0,0,0,0,1,0,0,-,-,114.05612200000007,22.45185300000003
Yuen Long,Wetland Season Park,WETLAND PARK ROAD,元朗區,Wetland Seasons Park,濕地公園路,元朗区,Wetland Seasons Park,湿地公园路,0,2,0,0,1,1,2,0,0,-,-,114.00611200000003,22.466805000000022
Yuen Long,Wetland Seasons Bay Public Vehicle Park,WETLAND PARK ROAD,元朗區,Wetland Seasons Bay 公眾停車場,濕地公園路,元朗区,Wetland Seasons Bay 公众停车场,湿地公园路,0,0,0,0,1,1,3,0,0,-,-,114.00316600000008,22.469208000000037
Yuen Long,T Town South Car Park,"T Town, 30 & 33 Tin Wah Road, Tin Shui Wai, Yuen Long, New Territories",元朗區,T Town South 停車場,新界元朗天水圍天華路30及33號T Town,元朗区,T Town South 停车场,新界元朗天水围天华路30及33号T Town,0,21,0,14,0,2,0,0,6,Tesla Wall Connector / Supercharger,-,113.99724000000003,22.461066000000073
Yuen Long,One North ,8 Hong Yip Street,元朗區,朗壹廣場,元朗康業街8號,元朗区,朗壹广场,元朗康业街8号,0,74,0,0,2,2,0,0,3,-,-,114.02995300000009,22.450954000000024
Yuen Long,Tin Yat Estate,"76 Tin Shui Rd, Tin Shui Wai",元朗區,天逸邨,天水圍天瑞路76號,元朗区,天逸邨,天水围天瑞路76号,0,13,0,0,0,0,0,0,0,-,-,113.99983700000007,22.46791900000005
Yuen Long,Tai Tong Organic EcoPark,"Tai Tong Organic Eco Park, 11 Tai Tong Shan Road, Yuen Long",元朗區,大棠有機生態園,元朗大棠山道11號大棠有機生態園停車場,元朗区,大棠有机生态园,元朗大棠山道11号大棠有机生态园停车场,0,0,0,0,0,4,12,0,0,-,-,114.02584000000002,22.41010700000004
